;City;Gender;variable;value;Numb
452;Kayseri-38;F;-25.29;50224;50224
453;Kilis-79;F;-25.29;5355;5355
454;Kırıkkale-71;F;-25.29;9021;9021
455;Kırklareli-39;F;-25.29;11366;11366
456;Kırşehir-40;F;-25.29;7821;7821
457;Kocaeli-41;F;-25.29;78929;78929
458;Konya-42;F;-25.29;79369;79369
459;Kütahya-43;F;-25.29;21594;21594
460;Malatya-44;F;-25.29;27850;27850
461;Manisa-45;F;-25.29;48991;48991
462;Mardin-47;F;-25.29;37435;37435
463;Mersin-33;F;-25.29;64364;64364
464;Muğla-48;F;-25.29;31115;31115
465;Muş-49;F;-25.29;17611;17611
466;Nevşehir-50;F;-25.29;10190;10190
467;Niğde-51;F;-25.29;12289;12289
468;Ordu-52;F;-25.29;23704;23704
469;Osmaniye-80;F;-25.29;18190;18190
470;Rize-53;F;-25.29;11751;11751
471;Sakarya-54;F;-25.29;37556;37556
472;Samsun-55;F;-25.29;46078;46078
473;Şanlıurfa-63;F;-25.29;86028;86028
474;Siirt-56;F;-25.29;14295;14295
475;Sinop-57;F;-25.29;6331;6331
476;Şırnak-73;F;-25.29;24707;24707
477;Sivas-58;F;-25.29;22554;22554
478;Tekirdağ-59;F;-25.29;39876;39876
479;Tokat-60;F;-25.29;19527;19527
480;Trabzon-61;F;-25.29;27724;27724
481;Tunceli-62;F;-25.29;3150;3150
482;Uşak-64;F;-25.29;11869;11869
483;Van-65;F;-25.29;52392;52392
484;Yalova-77;F;-25.29;9269;9269
485;Yozgat-66;F;-25.29;14183;14183
486;Zonguldak-67;F;-25.29;17629;17629
487;Adana-1;M;-30.34;81952;-81952
488;Adıyaman-2;M;-30.34;23655;-23655
489;Afyonkarahisar-3;M;-30.34;26040;-26040
490;Ağrı-4;M;-30.34;19430;-19430
491;Aksaray-68;M;-30.34;15600;-15600
492;Amasya-5;M;-30.34;12616;-12616
493;Ankara-6;M;-30.34;227632;-227632
494;Antalya-7;M;-30.34;99179;-99179
495;Ardahan-75;M;-30.34;3651;-3651
496;Artvin-8;M;-30.34;5986;-5986
497;Aydın-9;M;-30.34;38177;-38177
498;Balıkesir-10;M;-30.34;40880;-40880
499;Bartın-74;M;-30.34;6623;-6623
500;Batman-72;M;-30.34;22543;-22543
501;Bayburt-69;M;-30.34;3024;-3024
502;Bilecik-11;M;-30.34;9229;-9229
503;Bingöl-12;M;-30.34;11951;-11951
504;Bitlis-13;M;-30.34;13522;-13522
505;Bolu-14;M;-30.34;11106;-11106
506;Burdur-15;M;-30.34;8947;-8947
507;Bursa-16;M;-30.34;121415;-121415
508;Çanakkale-17;M;-30.34;18401;-18401
509;Çankırı-18;M;-30.34;6836;-6836
510;Çorum-19;M;-30.34;17365;-17365
511;Denizli-20;M;-30.34;37894;-37894
512;Diyarbakır-21;M;-30.34;69565;-69565
513;Düzce-81;M;-30.34;14385;-14385
514;Edirne-22;M;-30.34;14431;-14431
515;Elazığ-23;M;-30.34;21454;-21454
516;Erzincan-24;M;-30.34;9104;-9104
517;Erzurum-25;M;-30.34;27264;-27264
518;Eskişehir-26;M;-30.34;34391;-34391
519;Gaziantep-27;M;-30.34;81610;-81610
520;Giresun-28;M;-30.34;14331;-14331
521;Gümüşhane-29;M;-30.34;6364;-6364
522;Hakkari-30;M;-30.34;11447;-11447
523;Hatay-31;M;-30.34;57029;-57029
524;Iğdır-76;M;-30.34;7672;-7672
525;Isparta-32;M;-30.34;15086;-15086
526;İstanbul-34;M;-30.34;693476;-693476
527;İzmir-35;M;-30.34;169778;-169778
528;Kahramanmaraş-46;M;-30.34;42141;-42141
529;Karabük-78;M;-30.34;8023;-8023
530;Karaman-70;M;-30.34;9555;-9555
531;Kars-36;M;-30.34;10555;-10555
532;Kastamonu-37;M;-30.34;12392;-12392
533;Kayseri-38;M;-30.34;52937;-52937
534;Kilis-79;M;-30.34;5316;-5316
535;Kırıkkale-71;M;-30.34;9664;-9664
536;Kırklareli-39;M;-30.34;13336;-13336
537;Kırşehir-40;M;-30.34;8565;-8565
538;Kocaeli-41;M;-30.34;84069;-84069
539;Konya-42;M;-30.34;81649;-81649
540;Kütahya-43;M;-30.34;20248;-20248
541;Malatya-44;M;-30.34;28331;-28331
542;Manisa-45;M;-30.34;53453;-53453
543;Mardin-47;M;-30.34;31997;-31997
544;Mersin-33;M;-30.34;65727;-65727
545;Muğla-48;M;-30.34;36254;-36254
546;Muş-49;M;-30.34;14826;-14826
547;Nevşehir-50;M;-30.34;10732;-10732
548;Niğde-51;M;-30.34;12958;-12958
549;Ordu-52;M;-30.34;24490;-24490
550;Osmaniye-80;M;-30.34;18683;-18683
551;Rize-53;M;-30.34;12060;-12060
552;Sakarya-54;M;-30.34;38033;-38033
553;Samsun-55;M;-30.34;47192;-47192
554;Şanlıurfa-63;M;-30.34;74090;-74090
555;Siirt-56;M;-30.34;12164;-12164
556;Sinop-57;M;-30.34;7139;-7139
557;Şırnak-73;M;-30.34;20081;-20081
558;Sivas-58;M;-30.34;22175;-22175
559;Tekirdağ-59;M;-30.34;45655;-45655
560;Tokat-60;M;-30.34;19933;-19933
561;Trabzon-61;M;-30.34;28667;-28667
562;Tunceli-62;M;-30.34;3915;-3915
563;Uşak-64;M;-30.34;13305;-13305
564;Van-65;M;-30.34;45075;-45075
565;Yalova-77;M;-30.34;9687;-9687
566;Yozgat-66;M;-30.34;14663;-14663
567;Zonguldak-67;M;-30.34;20605;-20605
568;Adana-1;F;-30.34;82956;82956
569;Adıyaman-2;F;-30.34;22311;22311
570;Afyonkarahisar-3;F;-30.34;25791;25791
571;Ağrı-4;F;-30.34;16643;16643
572;Aksaray-68;F;-30.34;15127;15127
573;Amasya-5;F;-30.34;11104;11104
574;Ankara-6;F;-30.34;231416;231416
575;Antalya-7;F;-30.34;101026;101026
576;Ardahan-75;F;-30.34;2965;2965
577;Artvin-8;F;-30.34;5411;5411
578;Aydın-9;F;-30.34;37296;37296
579;Balıkesir-10;F;-30.34;39292;39292
580;Bartın-74;F;-30.34;6219;6219
581;Batman-72;F;-30.34;22193;22193
582;Bayburt-69;F;-30.34;2763;2763
583;Bilecik-11;F;-30.34;7779;7779
584;Bingöl-12;F;-30.34;11117;11117
585;Bitlis-13;F;-30.34;11812;11812
586;Bolu-14;F;-30.34;10362;10362
587;Burdur-15;F;-30.34;8164;8164
588;Bursa-16;F;-30.34;120181;120181
589;Çanakkale-17;F;-30.34;17385;17385
590;Çankırı-18;F;-30.34;5862;5862
591;Çorum-19;F;-30.34;16833;16833
592;Denizli-20;F;-30.34;37439;37439
593;Diyarbakır-21;F;-30.34;67764;67764
594;Düzce-81;F;-30.34;14073;14073
595;Edirne-22;F;-30.34;12927;12927
596;Elazığ-23;F;-30.34;21756;21756
