City;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90+;Gender
Edirne-22;13222.0;16324.0;12666.0;12927.0;13904.0;13977.0;13692.0;14216.0;15580.0;14234.0;11121.0;8324.0;5471.0;4441.0;2586.0;992.0;F
Elazığ-23;23178.0;24944.0;21393.0;21756.0;22543.0;20569.0;21003.0;16503.0;16485.0;13278.0;10421.0;8391.0;5779.0;3851.0;2466.0;1361.0;F
Erzincan-24;8887.0;11343.0;8287.0;7831.0;7869.0;7069.0;7042.0;6209.0;6484.0;5601.0;4608.0;4162.0;3167.0;1895.0;1374.0;749.0;F
Erzurum-25;37183.0;39092.0;29285.0;26272.0;25916.0;22087.0;22042.0;16582.0;17698.0;13963.0;11327.0;10340.0;7167.0;4163.0;2611.0;1169.0;F
Eskişehir-26;27402.0;35402.0;31523.0;32476.0;34645.0;33658.0;32249.0;29832.0;28779.0;23527.0;19064.0;15074.0;10601.0;7064.0;3776.0;1367.0;F
Gaziantep-27;90438.0;85536.0;80721.0;78919.0;74391.0;63597.0;54438.0;40956.0;37359.0;27395.0;21843.0;17152.0;11252.0;7260.0;3892.0;2060.0;F
Giresun-28;15000.0;17516.0;13878.0;13481.0;14213.0;13460.0;14285.0;14350.0;16496.0;15451.0;11840.0;9427.0;7557.0;5974.0;4120.0;2211.0;F
Gümüşhane-29;6587.0;9833.0;7073.0;5331.0;4826.0;4458.0;4890.0;4352.0;4599.0;3992.0;3120.0;2742.0;2009.0;1389.0;1002.0;631.0;F
Hakkari-30;14828.0;13456.0;13897.0;9820.0;9732.0;7047.0;5161.0;3871.0;3633.0;2708.0;2021.0;1474.0;834.0;580.0;398.0;346.0;F
Hatay-31;65914.0;58433.0;56155.0;58595.0;61398.0;55217.0;53132.0;43532.0;41035.0;31671.0;23644.0;17179.0;9433.0;7992.0;4644.0;1963.0;F
Iğdır-76;9338.0;8769.0;8083.0;6953.0;6591.0;5106.0;5107.0;3738.0;3961.0;3111.0;2691.0;1892.0;1104.0;812.0;562.0;292.0;F
Isparta-32;17193.0;21715.0;13786.0;14411.0;15619.0;15234.0;14720.0;13440.0;13904.0;12604.0;10370.0;8115.0;5530.0;3777.0;2579.0;954.0;F
İstanbul-34;526181.0;597584.0;649164.0;681692.0;708693.0;633554.0;567468.0;438690.0;381868.0;291685.0;215807.0;160274.0;105751.0;69489.0;43994.0;21949.0;F
İzmir-35;128864.0;147102.0;157531.0;166502.0;182960.0;174484.0;163963.0;142992.0;137500.0;117598.0;95024.0;71740.0;48231.0;32555.0;19803.0;8856.0;F
Kahramanmaraş-46;49802.0;43487.0;40746.0;41456.0;42965.0;37026.0;34670.0;26381.0;24682.0;19604.0;16453.0;13188.0;9052.0;6035.0;3212.0;1870.0;F
Karabük-78;9403.0;13372.0;8068.0;7354.0;8161.0;8501.0;8447.0;8047.0;7964.0;7108.0;5843.0;4770.0;3460.0;2047.0;1497.0;543.0;F
Karaman-70;10276.0;11239.0;8616.0;8756.0;9028.0;8252.0;8169.0;7255.0;6979.0;5763.0;4776.0;3913.0;2706.0;1965.0;1247.0;464.0;F
Kars-36;13037.0;13550.0;11444.0;9335.0;9312.0;7502.0;7575.0;5676.0;6170.0;4831.0;3730.0;3527.0;2507.0;1517.0;898.0;378.0;F
Kastamonu-37;12317.0;14242.0;11001.0;11667.0;12678.0;11492.0;11797.0;11129.0;13478.0;13242.0;11152.0;10060.0;7618.0;4200.0;3162.0;1182.0;F
Kayseri-38;53982.0;53991.0;50224.0;53239.0;55901.0;49803.0;46125.0;38233.0;36096.0;29306.0;22815.0;18907.0;12566.0;7903.0;4697.0;1855.0;F
Kilis-79;6484.0;6592.0;5355.0;4576.0;4498.0;3954.0;3725.0;3271.0;3026.0;2181.0;2035.0;1729.0;1157.0;833.0;482.0;268.0;F
Kırıkkale-71;11411.0;12821.0;9021.0;9268.0;9453.0;8967.0;9589.0;9124.0;8998.0;7598.0;6407.0;5331.0;3393.0;2174.0;1245.0;463.0;F
Kırklareli-39;10852.0;12902.0;11366.0;11661.0;13267.0;13113.0;12344.0;12094.0;12728.0;11805.0;9392.0;6716.0;4770.0;3592.0;2322.0;835.0;F
Kırşehir-40;9563.0;11048.0;7821.0;8085.0;8004.0;7910.0;7798.0;7469.0;7821.0;6901.0;5285.0;4458.0;2980.0;1981.0;1173.0;454.0;F
Kocaeli-41;66139.0;70948.0;78929.0;82719.0;86256.0;74560.0;66152.0;52532.0;48531.0;38528.0;28373.0;20961.0;13282.0;8227.0;4943.0;2132.0;F
Konya-42;89848.0;95731.0;79369.0;80043.0;82884.0;74093.0;70796.0;61926.0;60856.0;48668.0;40011.0;32963.0;21000.0;13670.0;7874.0;3055.0;F
Kütahya-43;19896.0;23633.0;21594.0;20329.0;21399.0;20593.0;20052.0;18572.0;20051.0;16769.0;13930.0;11199.0;7878.0;5036.0;2849.0;891.0;F
Malatya-44;31424.0;31857.0;27850.0;28659.0;30984.0;28442.0;27294.0;21387.0;21323.0;16638.0;14265.0;12178.0;8437.0;5857.0;3223.0;1867.0;F
Manisa-45;45879.0;48351.0;48991.0;51780.0;56089.0;51238.0;49607.0;45726.0;45511.0;38964.0;30893.0;23790.0;15953.0;11295.0;6549.0;2577.0;F
Mardin-47;42830.0;37575.0;37435.0;30594.0;26916.0;22011.0;20417.0;13554.0;12073.0;9167.0;7794.0;6847.0;4590.0;3519.0;2194.0;1503.0;F
Mersin-33;66343.0;65162.0;64364.0;66183.0;70993.0;68012.0;65390.0;56455.0;53790.0;42451.0;32914.0;25071.0;16202.0;10100.0;6063.0;2597.0;F
Muğla-48;27719.0;31078.0;31115.0;35238.0;39523.0;38329.0;36403.0;33309.0;32026.0;26597.0;21615.0;16206.0;11557.0;7973.0;5365.0;2318.0;F
Muş-49;22707.0;18724.0;17611.0;13690.0;11956.0;9628.0;8296.0;5759.0;6009.0;4779.0;4266.0;3085.0;2062.0;1161.0;759.0;502.0;F
Nevşehir-50;11576.0;13153.0;10190.0;10701.0;11195.0;9967.0;9718.0;9114.0;8829.0;7591.0;6364.0;5530.0;3703.0;2572.0;1329.0;571.0;F
Niğde-51;15370.0;16225.0;12289.0;11764.0;12552.0;11427.0;11781.0;10042.0;9618.0;7809.0;6395.0;5635.0;3894.0;2584.0;1329.0;610.0;F
